time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-07-03T08:24:41.708Z,69.0307,-144.7451,0,2.6,ml,,,,0.98,ak,ak0198gfsk3b,2019-07-03T08:31:07.658Z,"105km NNE of Arctic Village, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-07-03T08:21:32.450Z,17.765,-68.623,147,3.5,md,11,337,1.3007,0.49,pr,pr2019184005,2019-07-03T10:50:13.476Z,"67km S of Boca de Yuma, Dominican Republic",earthquake,7.56,5.85,0.13,9,reviewed,pr,pr
2019-07-03T08:03:47.004Z,69.1793,-144.6223,3.7,2.7,ml,,,,0.88,ak,ak0198gfo2hy,2019-07-03T08:15:14.245Z,"113km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-07-03T08:01:33.410Z,36.4338333,-90.9721667,2,2.46,md,25,142,0.3917,0.32,nm,nm60279971,2019-07-03T21:08:16.471Z,"19km N of Pocahontas, Arkansas",earthquake,0.66,2.46,0.068,11,reviewed,nm,nm
2019-07-03T07:40:08.754Z,6.8479,-73.1081,150.8,4.5,mb,,63,0.949,1.09,us,us7000494j,2019-07-03T07:55:06.040Z,"16km SSW of Piedecuesta, Colombia",earthquake,8.4,6.6,0.035,247,reviewed,us,us
2019-07-03T06:59:35.187Z,68.9733,-144.8234,0,3.2,ml,,,,0.81,ak,ak0198get6ms,2019-07-03T07:04:17.761Z,"98km NNE of Arctic Village, Alaska",earthquake,,0.7,,,automatic,ak,ak
2019-07-03T06:34:14.426Z,69.3394,-144.352,29.9,2.8,ml,,,,1.06,ak,ak0198genry8,2019-07-03T06:39:00.319Z,"92km SSW of Kaktovik, Alaska",earthquake,,1.5,,,automatic,ak,ak
2019-07-03T06:09:36.799Z,16.9685,-99.6844,35,4.6,mb,,180,1.22,1.15,us,us7000493e,2019-07-03T18:31:05.334Z,"19km SE of Xaltianguis, Mexico",earthquake,3.5,2,0.027,401,reviewed,us,us
2019-07-03T05:53:17.950Z,69.1347,-144.6999,3.3,3,ml,,,,0.75,ak,ak0198ge6f8f,2019-07-03T06:00:19.538Z,"117km NNE of Arctic Village, Alaska",earthquake,,2.7,,,automatic,ak,ak
2019-07-03T05:32:01.390Z,69.1326,-144.5462,23.7,2.9,ml,,,,1.15,ak,ak0198ge1vwr,2019-07-03T05:44:56.221Z,"117km SSW of Kaktovik, Alaska",earthquake,,4,,,automatic,ak,ak
2019-07-03T04:58:58.040Z,69.0995,-144.6943,21.2,4.6,ml,,,,1.19,ak,ak0198gdmarg,2019-07-03T18:16:07.040Z,"110km SSW of Kaktovik, Alaska",earthquake,,4,,,reviewed,ak,ak
2019-07-03T04:38:24.538Z,69.19,-144.7452,20.9,5.3,mww,,,,1.02,ak,ak0198gdhuwa,2019-07-03T18:09:18.040Z,"114km SSW of Kaktovik, Alaska",earthquake,,3.6,,,reviewed,ak,ak
2019-07-03T04:26:54.986Z,28.442,104.977,10,4.9,mb,,36,7.152,0.76,us,us7000492k,2019-07-03T05:32:57.421Z,"16km SSE of Changning, China",earthquake,8.4,1.8,0.054,109,reviewed,us,us
2019-07-03T03:45:28.017Z,-22.1741,-179.4992,574.23,5.8,mww,,33,4.971,1.12,us,us7000492b,2019-07-03T17:25:08.040Z,"187km SSW of Ndoi Island, Fiji",earthquake,5,5.9,0.069,20,reviewed,us,us
2019-07-03T03:04:05.260Z,38.8395,-122.8228333,2.22,3.18,ml,76,37,,0.08,nc,nc73205136,2019-07-03T21:10:04.382Z,"9km WNW of Cobb, CA",earthquake,0.12,0.18,0.219,65,reviewed,nc,nc
2019-07-03T02:53:57.759Z,35.985,-96.81916667,5.77,2.7,ml,94,68,0,0.22,ok,ok2019mwou,2019-07-03T16:59:12.777Z,"3km WSW of Cushing, Oklahoma",earthquake,,0.4,0.23,39,reviewed,ok,ok
